"Sens Factor =-0.258dB, SERNO: 7112871"
10.054	-4.9625
10.179	-4.7979
10.306	-4.6366
10.434	-4.4784
10.564	-4.3235
10.696	-4.1716
10.829	-4.0228
10.964	-3.8771
11.1	-3.7345
11.238	-3.5948
11.378	-3.4581
11.52	-3.3243
11.663	-3.1934
11.809	-3.0654
11.956	-2.9403
12.104	-2.8179
12.255	-2.6983
12.408	-2.5815
12.562	-2.4673
12.718	-2.3559
12.877	-2.2470
13.037	-2.1408
13.199	-2.0372
13.364	-1.9361
13.53	-1.8376
13.698	-1.7415
13.869	-1.6478
14.042	-1.5566
14.216	-1.4678
14.393	-1.3813
14.573	-1.2971
14.754	-1.2153
14.938	-1.1357
15.124	-1.0583
15.312	-0.9831
15.503	-0.9100
15.696	-0.8391
15.891	-0.7703
16.089	-0.7036
16.289	-0.6389
16.492	-0.5761
16.697	-0.5154
16.905	-0.4566
17.115	-0.3997
17.328	-0.3446
17.544	-0.2914
17.763	-0.2400
17.984	-0.1904
18.208	-0.1425
18.434	-0.0963
18.664	-0.0518
18.896	-0.0089
19.131	0.0323
19.369	0.0720
19.611	0.1101
19.855	0.1467
20.102	0.1819
20.352	0.2155
20.605	0.2478
20.862	0.2787
21.122	0.3082
21.385	0.3364
21.651	0.3633
21.92	0.3889
22.193	0.4133
22.47	0.4366
22.749	0.4586
23.032	0.4796
23.319	0.4994
23.609	0.5182
23.903	0.5359
24.201	0.5527
24.502	0.5685
24.807	0.5833
25.116	0.5973
25.429	0.6103
25.745	0.6226
26.066	0.6340
26.39	0.6446
26.719	0.6546
27.051	0.6638
27.388	0.6723
27.729	0.6802
28.074	0.6874
28.424	0.6941
28.778	0.7003
29.136	0.7059
29.499	0.7110
29.866	0.7157
30.238	0.7200
30.614	0.7239
30.995	0.7274
31.381	0.7306
31.772	0.7335
32.167	0.7362
32.568	0.7386
32.973	0.7409
33.383	0.7430
33.799	0.7449
34.22	0.7468
34.646	0.7486
35.077	0.7503
35.514	0.7514
35.956	0.7527
36.403	0.7544
36.857	0.7564
37.315	0.7591
37.78	0.7624
38.25	0.7663
38.726	0.7707
39.209	0.7757
39.697	0.7809
40.191	0.7863
40.691	0.7915
41.198	0.7964
41.711	0.8008
42.23	0.8045
42.756	0.8076
43.288	0.8098
43.827	0.8113
44.372	0.8121
44.925	0.8121
45.484	0.8114
46.05	0.8101
46.623	0.8081
47.204	0.8054
47.791	0.8021
48.386	0.7981
48.989	0.7936
49.599	0.7885
50.216	0.7828
50.841	0.7766
51.474	0.7701
52.115	0.7633
52.764	0.7564
53.42	0.7495
54.085	0.7429
54.759	0.7370
55.44	0.7319
56.131	0.7279
56.829	0.7251
57.537	0.7237
58.253	0.7235
58.978	0.7244
59.712	0.7260
60.456	0.7282
61.208	0.7306
61.97	0.7332
62.742	0.7356
63.523	0.7377
64.314	0.7395
65.114	0.7408
65.925	0.7416
66.745	0.7419
67.576	0.7417
68.418	0.7411
69.269	0.7400
70.132	0.7385
71.005	0.7366
71.889	0.7343
72.784	0.7315
73.69	0.7283
74.607	0.7248
75.536	0.7211
76.476	0.7173
77.428	0.7134
78.392	0.7097
79.368	0.7062
80.356	0.7029
81.356	0.7000
82.369	0.6977
83.394	0.6957
84.433	0.6943
85.484	0.6933
86.548	0.6926
87.625	0.6921
88.716	0.6916
89.82	0.6910
90.939	0.6898
92.071	0.6879
93.217	0.6849
94.377	0.6807
95.552	0.6750
96.742	0.6680
97.946	0.6599
99.165	0.6507
100.4	0.6407
101.65	0.6301
102.915	0.6190
104.196	0.6076
105.493	0.5961
106.806	0.5844
108.136	0.5730
109.482	0.5618
110.845	0.5511
112.225	0.5410
113.622	0.5316
115.037	0.5228
116.469	0.5148
117.919	0.5076
119.386	0.5009
120.873	0.4949
122.377	0.4895
123.901	0.4846
125.443	0.4800
127.005	0.4759
128.586	0.4721
130.187	0.4686
131.807	0.4653
133.448	0.4623
135.109	0.4593
136.791	0.4564
138.494	0.4533
140.218	0.4500
141.964	0.4466
143.731	0.4429
145.52	0.4391
147.332	0.4351
149.166	0.4310
151.023	0.4269
152.903	0.4229
154.806	0.4188
156.734	0.4148
158.685	0.4107
160.66	0.4066
162.66	0.4023
164.685	0.3980
166.735	0.3935
168.811	0.3890
170.912	0.3846
173.04	0.3803
175.194	0.3762
177.375	0.3722
179.583	0.3681
181.819	0.3640
184.082	0.3598
186.374	0.3554
188.694	0.3510
191.043	0.3467
193.421	0.3425
195.829	0.3383
198.267	0.3340
