freq_hz,target_db,final_left_db,final_right_db,final_sub_db,final_left_plus_sub_db,final_right_plus_sub_db,measured_left_plus_sub_db,measured_right_plus_sub_db,left_cancellation_db,right_cancellation_db
50.170900,82.731965,47.904565,47.532444,78.328477,78.330995,78.275517,87.810662,87.446547,0.002517,-0.052961
60.058600,82.475380,56.038134,55.230442,86.057792,85.835625,85.912905,91.775000,93.138617,-0.222167,-0.144887
69.946300,82.013323,53.829564,55.633191,77.998841,78.468144,77.505892,84.672764,85.091565,0.469303,-0.492949
79.834000,81.360909,64.535557,54.129489,84.731368,85.467920,84.473463,92.967200,84.909677,0.736552,-0.257905
90.087900,80.616369,61.612796,61.159002,75.056743,76.688538,74.720923,84.285260,73.811428,1.631795,-0.335820
99.975600,79.867638,65.271057,63.306155,77.439593,79.041331,78.941415,85.536392,83.318123,1.601739,1.501823
109.863300,79.150917,62.538942,59.454222,72.605356,72.037761,73.462485,65.266757,74.584601,-0.567594,0.857129
120.117200,78.503069,72.693992,74.135098,80.374820,75.890416,83.749926,80.194672,89.649479,-4.484404,3.375106
139.892600,77.535408,68.880414,67.937665,79.969627,81.984893,77.684281,86.936467,87.191219,2.015266,-2.285346
