freq_hz,target_db,final_left_db,final_right_db,final_sub_db,final_left_plus_sub_db,final_right_plus_sub_db,measured_left_plus_sub_db,measured_right_plus_sub_db,left_cancellation_db,right_cancellation_db
50.170900,82.731965,61.829092,61.884638,79.589853,79.072015,78.890205,87.810662,87.446547,-0.517838,-0.699648
60.058600,82.475380,69.739754,69.780588,86.412823,85.048819,85.086356,91.775000,93.138617,-1.364004,-1.326467
69.946300,82.013323,67.171501,70.537913,78.949812,80.757899,74.963094,84.672764,85.091565,1.808087,-3.986718
79.834000,81.360909,77.367545,68.974091,83.863018,84.507932,83.666174,92.967200,84.909677,0.644913,-0.196845
90.087900,80.616369,73.705451,74.925699,75.981443,76.872100,81.454580,84.285260,73.811428,0.890657,5.473137
99.975600,79.867638,76.331194,76.012277,78.795587,76.149284,80.920165,85.536392,83.318123,-2.646302,2.124579
109.863300,79.150917,72.149904,70.673326,73.623557,78.889580,77.539046,65.266757,74.584601,5.266024,3.915490
120.117200,78.503069,80.629400,82.192592,80.394708,84.881536,77.990945,80.194672,89.649479,4.252137,-4.201647
139.892600,77.535408,74.730786,71.022713,78.556475,79.619930,79.920358,86.936467,87.191219,1.063455,1.363882
