freq_hz,target_db,final_left_db,final_right_db,final_sub_db,final_left_plus_sub_db,final_right_plus_sub_db,measured_left_plus_sub_db,measured_right_plus_sub_db,left_cancellation_db,right_cancellation_db
50.170900,82.731965,76.831109,77.228078,76.935438,82.875023,82.946232,87.810662,87.446547,5.939585,5.718154
60.058600,82.475380,81.969766,82.348183,84.746684,89.440295,89.637108,91.775000,93.138617,4.693611,4.890424
69.946300,82.013323,76.600371,80.567546,70.944574,70.520274,82.905836,84.672764,85.091565,-6.080096,2.338290
79.834000,81.360909,84.368518,76.360673,72.741100,81.876616,80.718155,92.967200,84.909677,-2.491902,4.357483
90.087900,80.616369,78.880934,79.006371,58.237074,78.084089,79.397436,84.285260,73.811428,-0.796845,0.391064
99.975600,79.867638,80.436498,77.486009,55.978912,79.910307,76.994648,85.536392,83.318123,-0.526191,-0.491360
109.863300,79.150917,75.368740,70.526772,47.338501,75.695817,70.733654,65.266757,74.584601,0.327078,0.206882
120.117200,78.503069,82.722998,82.206484,52.719363,82.879402,81.981356,80.194672,89.649479,0.156405,-0.225128
139.892600,77.535408,75.181016,71.442887,48.778405,75.403331,71.088905,86.936467,87.191219,0.222315,-0.353982
