final_left_db,final_left_plus_sub_db,final_right_db,final_right_plus_sub_db,final_sub_db,freq_hz,left_cancellation_db,measured_left_plus_sub_db,measured_right_plus_sub_db,right_cancellation_db,target_db
"45.097345","78.566459","44.806524","78.524694","78.556114","50.170900","0.010345","87.810662","87.446547","-0.031420","82.731965"
"53.088296","86.274478","52.379919","86.321404","86.433301","60.058600","-0.158824","91.775000","93.138617","-0.111898","82.475380"
"50.664678","79.402586","52.588434","78.767575","79.102219","69.946300","0.300368","84.672764","85.091565","-0.334644","82.013323"
"61.059863","84.460238","50.799284","83.768005","83.953037","79.834000","0.507201","92.967200","84.909677","-0.185032","81.360909"
"57.677993","76.959477","57.407131","76.270899","76.129912","90.087900","0.829565","84.285260","73.811428","0.140987","80.616369"
"60.699193","79.686518","58.981529","79.896727","79.077854","99.975600","0.608664","85.536392","83.318123","0.818872","79.867638"
"57.018732","74.256863","54.311062","74.871561","74.311236","109.863300","-0.054373","65.266757","74.584601","0.560325","79.150917"
"65.738175","80.292604","67.745844","83.106280","81.693581","120.117200","-1.400977","80.194672","89.649479","1.412699","78.503069"
"60.693345","80.297748","58.950374","78.655530","79.475277","139.892600","0.822472","86.936467","87.191219","-0.819747","77.535408"
