crossover_hz,exact_cancellation_penalty,exact_lr_mismatch_rms_db,exact_phase_penalty,exact_preference_penalty,exact_score,exact_target_rms_db,exact_validation_rms_db,proxy_score,score,sub_delay_ms,sub_gain_db
"140.000000","0.924820","3.640058","0.457392","0.000000","7.961544","4.665252","5.694589","7.170709","7.961544","-1.800000","-0.500000"
"136.000000","1.052727","4.037113","0.483570","0.000000","8.343863","4.814309","5.814756","7.253191","8.343863","-2.000000","0.000000"
"138.000000","1.063193","4.102972","0.481241","0.000000","8.586036","5.043966","5.760525","7.192428","8.586036","-1.775000","-0.375000"
"130.000000","1.424415","4.542197","0.446761","0.000000","8.796337","5.054725","5.434786","7.339485","8.796337","-1.500000","0.000000"
"134.000000","1.463776","4.432994","0.450174","0.000000","8.816329","5.087370","5.467257","7.275089","8.816329","-1.500000","0.000000"
"128.000000","1.443482","4.622824","0.447630","0.000000","8.835735","5.055469","5.444280","7.386401","8.835735","-1.500000","0.000000"
"126.000000","1.530830","4.772790","0.450363","0.000000","8.979454","5.110312","5.444610","7.445064","8.979454","-1.500000","0.000000"
"132.000000","1.828893","4.854987","0.468102","0.000000","9.409107","5.318445","5.703232","7.302822","9.409107","-1.500000","0.000000"
