final_left_db,final_left_plus_sub_db,final_right_db,final_right_plus_sub_db,final_sub_db,freq_hz,left_cancellation_db,measured_left_plus_sub_db,measured_right_plus_sub_db,right_cancellation_db,target_db
"79.669609","81.540945","79.729176","81.509390","67.672432","50.170900","1.871336","87.810662","87.446547","1.780214","82.731965"
"84.655885","87.159113","84.571971","87.273913","75.848939","60.058600","2.503228","91.775000","93.138617","2.701942","82.475380"
"79.049871","77.824278","81.791575","82.602918","61.631970","69.946300","-1.225594","84.672764","85.091565","0.811343","82.013323"
"86.465121","86.001514","77.088118","78.700548","64.268772","79.834000","-0.463606","92.967200","84.909677","1.612430","81.360909"
"80.549228","80.277247","80.954315","81.006569","50.633930","90.087900","-0.271981","84.285260","73.811428","0.052254","80.616369"
"82.124185","81.942322","80.238252","80.009804","49.264083","99.975600","-0.181863","85.536392","83.318123","-0.228448","79.867638"
"77.436230","77.516506","73.638840","73.594356","41.879771","109.863300","0.080275","65.266757","74.584601","-0.044484","79.150917"
"83.423190","83.575405","85.431122","85.306717","48.527236","120.117200","0.152215","80.194672","89.649479","-0.124404","78.503069"
"75.159413","75.225503","74.324236","74.352234","46.306558","139.892600","0.066090","86.936467","87.191219","0.027998","77.535408"
