final_left_db,final_left_plus_sub_db,final_right_db,final_right_plus_sub_db,final_sub_db,freq_hz,left_cancellation_db,measured_left_plus_sub_db,measured_right_plus_sub_db,right_cancellation_db,target_db
"63.208552","82.054686","66.233681","81.583552","82.494217","50.170900","-0.439531","87.810662","87.446547","-0.910665","82.731965"
"71.074681","85.694364","73.687254","85.119234","87.160218","60.058600","-1.465854","91.775000","93.138617","-2.040984","82.475380"
"68.292193","81.952301","73.511564","75.130767","80.127746","69.946300","1.824555","84.672764","85.091565","-4.996979","82.013323"
"78.110440","81.481554","71.101876","81.609930","81.107203","79.834000","0.374351","92.967200","84.909677","0.502728","81.360909"
"73.960507","75.604448","76.886430","82.807916","76.700722","90.087900","-1.096274","84.285260","73.811428","5.921486","80.616369"
"76.157140","74.972371","77.579015","81.319209","79.322361","99.975600","-4.349990","85.536392","83.318123","1.996848","79.867638"
"71.644781","78.654677","72.018634","77.998557","73.522558","109.863300","5.132119","65.266757","74.584601","4.475999","79.150917"
"79.552243","85.084084","84.581992","80.701527","80.581224","120.117200","4.502859","80.194672","89.649479","-3.880465","78.503069"
"73.193917","80.258496","74.361280","81.507995","79.207215","139.892600","1.051281","86.936467","87.191219","2.300779","77.535408"
