score,crossover_hz,sub_delay_ms,sub_gain_db
9.160173,90.000000,-3.650000,3.125000
9.160686,90.000000,-3.650000,3.000000
9.161186,90.000000,-3.625000,3.125000
9.161357,90.000000,-3.675000,3.000000
9.161381,90.000000,-3.625000,3.250000
9.161919,90.000000,-3.675000,2.875000
9.163163,90.000000,-3.650000,3.250000
9.163518,90.000000,-3.600000,3.250000
9.163839,90.000000,-3.675000,3.125000
9.164609,90.000000,-3.650000,2.875000
9.164896,90.000000,-3.625000,3.000000
9.165034,90.000000,-3.700000,2.875000
9.165105,90.000000,-3.700000,2.750000
9.165182,90.000000,-3.600000,3.375000
9.165388,90.000000,-3.675000,2.750000
9.165518,90.000000,-3.625000,3.375000
9.166207,90.000000,-3.600000,3.125000
9.167546,90.000000,-3.700000,3.000000
9.167594,90.000000,-3.700000,2.625000
9.168089,90.000000,-3.575000,3.375000
9.168881,90.000000,-3.575000,3.250000
9.169470,90.000000,-3.675000,3.250000
9.169720,90.000000,-3.650000,3.375000
9.170536,90.000000,-3.725000,2.625000
9.171177,90.000000,-3.600000,3.500000
9.171381,90.000000,-3.725000,2.750000
9.171596,90.000000,-3.675000,2.625000
9.171670,90.000000,-3.725000,2.500000
9.171823,90.000000,-3.650000,2.750000
9.172010,90.000000,-3.575000,3.500000
9.172308,90.000000,-3.700000,2.500000
9.172448,90.000000,-3.625000,2.875000
9.172780,90.000000,-3.700000,3.125000
9.173255,90.000000,-3.600000,3.000000
9.173527,90.000000,-3.550000,3.375000
9.173612,90.000000,-3.625000,3.500000
9.174381,90.000000,-3.725000,2.875000
9.174468,90.000000,-3.575000,3.125000
9.174585,90.000000,-3.725000,2.375000
9.175478,90.000000,-3.550000,3.500000
9.176692,90.000000,-3.550000,3.250000
9.178184,90.000000,-3.750000,2.375000
9.178335,90.000000,-3.675000,3.375000
9.178642,90.000000,-3.750000,2.500000
9.179022,90.000000,-3.700000,2.375000
9.179057,90.000000,-3.725000,2.250000
9.179145,90.000000,-3.750000,2.250000
9.179692,90.000000,-3.725000,3.000000
9.179889,90.000000,-3.650000,3.500000
9.180337,90.000000,-3.675000,2.500000
