final_left_db,final_left_plus_sub_db,final_right_db,final_right_plus_sub_db,final_sub_db,freq_hz,left_cancellation_db,measured_left_plus_sub_db,measured_right_plus_sub_db,right_cancellation_db,target_db
"53.645568","78.022894","53.202527","77.925744","77.991295","50.170900","0.031598","87.810662","87.446547","-0.065551","82.731965"
"61.522227","83.434412","60.779870","83.605356","84.053729","60.058600","-0.619316","91.775000","93.138617","-0.448373","82.475380"
"58.967136","77.774002","60.973112","75.762379","76.813887","69.946300","0.960115","84.672764","85.091565","-1.051507","82.013323"
"69.217337","84.498844","59.148345","82.407447","82.982939","79.834000","1.515905","92.967200","84.909677","-0.575492","81.360909"
"65.675662","76.328795","65.698324","72.787757","73.353818","90.087900","2.974977","84.285260","73.811428","-0.566061","80.616369"
"68.538946","78.468621","67.198297","78.384292","75.693831","99.975600","2.774790","85.536392","83.318123","2.690460","79.867638"
"64.702672","71.204017","62.437429","73.002123","71.109414","109.863300","0.094603","65.266757","74.584601","1.892709","79.150917"
"73.269766","74.308266","75.765062","83.336286","79.266984","120.117200","-4.958718","80.194672","89.649479","4.069302","78.503069"
"67.987413","79.068485","66.744299","73.268400","76.534503","139.892600","2.533982","86.936467","87.191219","-3.266104","77.535408"
