crossover_hz,exact_cancellation_penalty,exact_lr_mismatch_rms_db,exact_phase_penalty,exact_preference_penalty,exact_score,exact_target_rms_db,exact_validation_rms_db,proxy_score,score,sub_delay_ms,sub_gain_db
"128.000000","0.728372","3.063321","0.451901","0.000000","8.607076","4.718175","9.197760","7.386401","8.607076","-1.500000","0.000000"
"134.000000","0.615155","2.952238","0.453426","0.000000","8.608295","4.815793","9.145775","7.275089","8.608295","-1.500000","0.000000"
"132.000000","0.655721","3.069299","0.454052","0.000000","8.637839","4.784731","9.158157","7.302822","8.637839","-1.500000","0.000000"
"130.000000","0.710420","3.193300","0.455832","0.000000","8.664200","4.753441","9.124081","7.339485","8.664200","-1.500000","0.000000"
"126.000000","0.815906","3.443475","0.460414","0.000000","8.700270","4.673085","9.061597","7.445064","8.700270","-1.500000","0.000000"
"136.000000","0.798694","2.902659","0.508733","0.000000","8.830548","4.803511","9.749051","7.253191","8.830548","-2.000000","0.000000"
"138.000000","0.728685","2.924036","0.477147","0.000000","8.992933","5.071521","9.471805","7.192428","8.992933","-1.775000","-0.375000"
"140.000000","0.713426","2.989961","0.492355","0.000000","9.065181","5.118108","9.476157","7.170709","9.065181","-1.800000","-0.500000"
