final_left_db,final_left_plus_sub_db,final_right_db,final_right_plus_sub_db,final_sub_db,freq_hz,left_cancellation_db,measured_left_plus_sub_db,measured_right_plus_sub_db,right_cancellation_db,target_db
"41.335199","80.856050","41.028642","80.835026","80.846174","50.170900","0.009877","87.810662","87.446547","-0.011147","82.731965"
"49.394013","85.963757","48.668710","85.992841","86.079113","60.058600","-0.115356","91.775000","93.138617","-0.086272","82.475380"
"47.080208","80.450037","48.985768","80.119903","80.287924","69.946300","0.162113","84.672764","85.091565","-0.168021","82.013323"
"57.633662","82.833741","47.353580","82.243540","82.396280","79.834000","0.437461","92.967200","84.909677","-0.152740","81.360909"
"54.467803","76.828200","54.176081","76.306297","76.245158","90.087900","0.583042","84.285260","73.811428","0.061139","80.616369"
"57.740735","78.949529","56.000928","79.090229","78.459336","99.975600","0.490193","85.536392","83.318123","0.630893","79.867638"
"54.341946","73.503250","51.610899","73.964721","73.467053","109.863300","0.036197","65.266757","74.584601","0.497668","79.150917"
"63.368134","80.929136","65.351206","82.837131","81.870249","120.117200","-0.941113","80.194672","89.649479","0.966882","78.503069"
"58.896065","79.917587","57.126338","78.501185","79.197246","139.892600","0.720341","86.936467","87.191219","-0.696061","77.535408"
