score,crossover_hz,sub_delay_ms,sub_gain_db
8.664525,60.000000,3.475000,-10.750000
8.664540,60.000000,3.450000,-10.750000
8.664590,60.000000,3.450000,-10.625000
8.664599,60.000000,3.475000,-10.625000
8.664604,60.000000,3.500000,-10.750000
8.664650,60.000000,3.425000,-10.750000
8.664678,60.000000,3.425000,-10.625000
8.664703,60.000000,3.500000,-10.625000
8.664721,60.000000,3.450000,-10.500000
8.664754,60.000000,3.475000,-10.500000
8.664777,60.000000,3.525000,-10.750000
8.664785,60.000000,3.425000,-10.500000
8.664856,60.000000,3.400000,-10.750000
8.664861,60.000000,3.400000,-10.625000
8.664883,60.000000,3.500000,-10.500000
8.664901,60.000000,3.525000,-10.625000
8.664934,60.000000,3.450000,-10.375000
8.664945,60.000000,3.400000,-10.500000
8.664973,60.000000,3.425000,-10.375000
8.664993,60.000000,3.475000,-10.375000
8.665042,60.000000,3.550000,-10.750000
8.665107,60.000000,3.525000,-10.500000
8.665111,60.000000,3.400000,-10.375000
8.665142,60.000000,3.375000,-10.625000
8.665147,60.000000,3.500000,-10.375000
8.665159,60.000000,3.375000,-10.750000
8.665192,60.000000,3.550000,-10.625000
8.665204,60.000000,3.375000,-10.500000
8.665233,60.000000,3.450000,-10.250000
8.665247,60.000000,3.425000,-10.250000
8.665317,60.000000,3.475000,-10.250000
8.665347,60.000000,3.375000,-10.375000
8.665360,60.000000,3.400000,-10.250000
8.665398,60.000000,3.525000,-10.375000
8.665400,60.000000,3.575000,-10.750000
8.665425,60.000000,3.550000,-10.500000
8.665499,60.000000,3.500000,-10.250000
8.665521,60.000000,3.350000,-10.625000
8.665558,60.000000,3.350000,-10.750000
8.665562,60.000000,3.350000,-10.500000
8.665572,60.000000,3.375000,-10.250000
8.665577,60.000000,3.575000,-10.625000
8.665608,60.000000,3.425000,-10.125000
8.665620,60.000000,3.450000,-10.125000
8.665682,60.000000,3.350000,-10.375000
8.665696,60.000000,3.400000,-10.125000
8.665731,60.000000,3.475000,-10.125000
8.665743,60.000000,3.550000,-10.375000
8.665777,60.000000,3.525000,-10.250000
8.665837,60.000000,3.575000,-10.500000
