freq_hz,target_db,final_left_db,final_right_db,final_sub_db,final_left_plus_sub_db,final_right_plus_sub_db,measured_left_plus_sub_db,measured_right_plus_sub_db,left_cancellation_db,right_cancellation_db
50.170900,82.731965,67.520328,68.002238,79.765593,78.612345,77.921314,87.810662,87.446547,-1.153249,-1.844280
60.058600,82.475380,75.446310,75.454245,86.587173,83.897184,83.785154,91.775000,93.138617,-2.689989,-2.802019
69.946300,82.013323,74.378585,75.143798,78.983105,82.447414,74.347699,84.672764,85.091565,3.464308,-4.635406
79.834000,81.360909,81.814181,72.065367,83.702296,83.681709,84.330556,92.967200,84.909677,-0.020587,0.628260
90.087900,80.616369,76.850536,76.693543,74.824894,76.711015,81.822613,84.285260,73.811428,-0.139521,5.129069
99.975600,79.867638,78.770363,76.280119,76.108559,74.501584,78.429362,85.536392,83.318123,-4.268779,2.149243
109.863300,79.150917,74.023962,69.862945,70.071970,78.283701,74.737574,65.266757,74.584601,4.259739,4.665604
120.117200,78.503069,81.933415,81.846024,77.397852,85.256452,76.831900,80.194672,89.649479,3.323037,-5.014124
139.892600,77.535408,75.241877,71.372804,75.325520,77.634206,77.242690,86.936467,87.191219,2.308686,1.917170
