* Measurement data measured by REW V5.31.3
* Source: Umik-1  Gain: 18dB, no input selected, R, volume: no control. Timing signal peak level -35.0 dBFS, measurement signal peak level -28.2 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: Apr 18, 2026 9:09:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -1.3782 ms (-473 mm, -(1 ft 6.61 in)) using IR start time relative to Acoustic reference played from  L with no timing offset
* Measurement: Sub Only 1
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
79.1016 87.319 25.67
79.4678 87.123 23.71
79.8340 86.947 22.11
80.2002 86.813 20.80
80.5664 86.733 19.61
80.9326 86.706 18.37
81.2988 86.713 16.94
81.6650 86.734 15.32
82.0313 86.753 13.59
82.3975 86.775 11.86
82.7637 86.819 10.16
83.1299 86.908 8.39
83.4961 87.046 6.28
83.8623 87.208 3.57
84.2285 87.346 0.14
84.5947 87.408 -3.95
84.9609 87.353 -8.48
85.3272 87.166 -13.13
85.6934 86.858 -17.62
86.0596 86.457 -21.76
86.4258 86.000 -25.51
86.7920 85.513 -29.03
87.1582 84.994 -32.54
87.5244 84.412 -36.17
87.8906 83.721 -39.90
88.2568 82.876 -43.47
88.6231 81.856 -46.46
88.9893 80.668 -48.34
89.3555 79.360 -48.55
89.7217 78.016 -46.69
90.0879 76.755 -42.56
90.4541 75.710 -36.28
90.8203 75.018 -28.39
91.1865 74.775 -19.97
91.5527 74.967 -12.44
91.9190 75.450 -6.85
92.2852 76.041 -3.41
92.6514 76.605 -1.72
93.0176 77.082 -1.20
93.3838 77.464 -1.39
93.7500 77.761 -1.97
94.1162 77.984 -2.76
94.4824 78.145 -3.61
94.8486 78.265 -4.33
95.2149 78.384 -4.83
95.5811 78.555 -5.20
95.9473 78.809 -5.81
96.3135 79.134 -7.12
96.6797 79.471 -9.41
97.0459 79.754 -12.66
97.4121 79.934 -16.63
97.7783 79.999 -20.98
98.1445 79.964 -25.46
98.5108 79.861 -29.98
98.8770 79.711 -34.64
99.2432 79.514 -39.59
99.6094 79.246 -44.94
99.9756 78.874 -50.67
100.3418 78.377 -56.60
100.7080 77.751 -62.52
101.0742 77.017 -68.23
101.4404 76.213 -73.71
101.8066 75.374 -79.09
102.1729 74.524 -84.66
102.5391 73.661 -90.75
102.9053 72.774 -97.64
103.2715 71.852 -105.51
103.6377 70.907 -114.46
104.0039 69.975 -124.57
104.3701 69.116 -135.80
104.7363 68.403 -147.90
105.1025 67.908 -160.29
105.4688 67.671 -172.18
105.8350 67.698 177.21
106.2012 67.970 168.29
106.5674 68.449 161.01
106.9336 69.087 154.98
107.2998 69.817 149.77
107.6660 70.574 145.10
108.0322 71.314 140.88
108.3984 72.020 137.14
108.7647 72.700 133.85
109.1309 73.369 130.91
109.4971 74.031 128.15
109.8633 74.677 125.44
110.2295 75.291 122.71
110.5957 75.859 120.00
110.9619 76.382 117.39
111.3281 76.865 114.90
111.6943 77.316 112.53
112.0606 77.736 110.23
112.4268 78.115 107.98
112.7930 78.447 105.84
113.1592 78.730 103.92
113.5254 78.982 102.35
113.8916 79.230 101.15
114.2578 79.502 100.22
114.6240 79.811 99.37
114.9902 80.150 98.41
115.3565 80.496 97.24
115.7227 80.831 95.90
116.0889 81.148 94.48
116.4551 81.455 93.04
116.8213 81.765 91.56
117.1875 82.081 89.98
117.5537 82.398 88.22
117.9199 82.704 86.26
118.2861 82.990 84.13
118.6524 83.252 81.87
119.0186 83.492 79.52
119.3848 83.707 77.07
119.7510 83.891 74.52
120.1172 84.036 71.92
120.4834 84.138 69.34
120.8496 84.197 66.87
121.2158 84.222 64.57
121.5820 84.223 62.47
121.9483 84.206 60.55
122.3145 84.174 58.82
122.6807 84.132 57.30
123.0469 84.092 55.98
123.4131 84.067 54.81
123.7793 84.062 53.64
124.1455 84.068 52.31
124.5117 84.055 50.76
124.8779 83.991 49.02
125.2442 83.857 47.29
125.6104 83.648 45.81
125.9766 83.382 44.78
126.3428 83.089 44.34
126.7090 82.799 44.49
127.0752 82.537 45.23
127.4414 82.327 46.50
127.8076 82.195 48.21
128.1738 82.165 50.19
128.5400 82.248 52.16
128.9063 82.428 53.86
129.2725 82.673 55.10
129.6387 82.945 55.89
130.0049 83.218 56.31
130.3711 83.482 56.53
130.7373 83.742 56.66
131.1035 84.013 56.74
131.4697 84.308 56.71
131.8359 84.632 56.47
132.2022 84.973 55.88
132.5684 85.307 54.87
132.9346 85.606 53.48
133.3008 85.850 51.85
133.6670 86.037 50.20
134.0332 86.181 48.66
134.3994 86.311 47.30
134.7656 86.446 46.01
135.1318 86.591 44.64
135.4981 86.728 43.09
135.8643 86.834 41.36
136.2305 86.891 39.59
136.5967 86.902 37.96
136.9629 86.886 36.60
137.3291 86.867 35.53
137.6953 86.868 34.66
138.0615 86.891 33.87
138.4277 86.928 33.08
138.7940 86.967 32.28
139.1602 87.005 31.52
139.5264 87.046 30.87
139.8926 87.101 30.31
140.2588 87.175 29.80
140.6250 87.270 29.28
140.9912 87.379 28.71
141.3574 87.497 28.09
141.7236 87.622 27.43
142.0899 87.756 26.74
142.4561 87.903 26.03
142.8223 88.064 25.26
143.1885 88.242 24.39
143.5547 88.439 23.40
143.9209 88.651 22.20
144.2871 88.871 20.74
144.6533 89.086 18.96
145.0195 89.278 16.88
145.3858 89.430 14.57
145.7520 89.536 12.14
146.1182 89.595 9.70
146.4844 89.617 7.35
146.8506 89.615 5.14
147.2168 89.599 3.07
147.5830 89.578 1.12
147.9492 89.559 -0.74
148.3154 89.547 -2.55
148.6817 89.544 -4.35
149.0479 89.547 -6.23
149.4141 89.548 -8.22
149.7803 89.534 -10.33
150.1465 89.494 -12.51
150.5127 89.424 -14.68
150.8789 89.329 -16.76
151.2451 89.218 -18.73
151.6113 89.100 -20.60
151.9776 88.976 -22.42
152.3438 88.839 -24.21
152.7100 88.681 -25.93
153.0762 88.502 -27.50
153.4424 88.310 -28.82
153.8086 88.126 -29.85
154.1748 87.969 -30.65
154.5410 87.855 -31.34
154.9072 87.779 -32.08
155.2735 87.728 -32.98
155.6397 87.681 -34.02
156.0059 87.629 -35.15
156.3721 87.575 -36.27
156.7383 87.533 -37.38
157.1045 87.514 -38.55
157.4707 87.514 -39.92
157.8369 87.515 -41.59
158.2031 87.491 -43.55
158.5693 87.422 -45.67
158.9356 87.306 -47.78
159.3018 87.159 -49.75
159.6680 87.002 -51.55
160.0342 86.852 -53.27
160.4004 86.710 -55.03
160.7666 86.562 -56.88
161.1328 86.396 -58.80
161.4990 86.206 -60.69
161.8652 86.000 -62.48
162.2315 85.793 -64.16
162.5977 85.595 -65.79
162.9639 85.403 -67.44
163.3301 85.211 -69.15
163.6963 85.008 -70.91
164.0625 84.795 -72.67
164.4287 84.574 -74.42
164.7949 84.351 -76.17
165.1611 84.123 -77.99
165.5274 83.882 -79.90
165.8936 83.616 -81.89
166.2598 83.316 -83.92
166.6260 82.981 -85.90
166.9922 82.615 -87.79
167.3584 82.222 -89.58
167.7246 81.804 -91.28
168.0908 81.357 -92.89
168.4570 80.876 -94.41
168.8233 80.352 -95.76
169.1895 79.787 -96.84
169.5557 79.188 -97.53
169.9219 78.576 -97.74
170.2881 77.982 -97.44
170.6543 77.433 -96.76
171.0205 76.941 -95.90
171.3867 76.498 -95.04
171.7529 76.079 -94.26
172.1192 75.665 -93.49
172.4854 75.258 -92.62
172.8516 74.875 -91.57
173.2178 74.541 -90.43
173.5840 74.259 -89.40
173.9502 74.008 -88.66
174.3164 73.753 -88.21
174.6826 73.470 -87.91
175.0488 73.160 -87.54
175.4151 72.846 -86.98
175.7813 72.556 -86.27
176.1475 72.302 -85.59
176.5137 72.077 -85.08
176.8799 71.861 -84.82
177.2461 71.641 -84.80
177.6123 71.415 -85.03
177.9785 71.181 -85.59
178.3447 70.926 -86.64
178.7110 70.613 -88.33
179.0772 70.194 -90.71
179.4434 69.613 -93.72
179.8096 68.814 -97.25
180.1758 67.729 -101.17
180.5420 66.260 -105.35
180.9082 64.228 -109.58
181.2744 61.268 -113.38
181.6406 56.402 -114.87
182.0069 44.989 -92.10
182.3731 51.591 27.70
182.7393 58.585 31.75
183.1055 62.213 29.39
183.4717 64.569 26.03
183.8379 66.257 22.50
184.2041 67.530 18.96
184.5703 68.509 15.45
184.9365 69.259 12.06
185.3027 69.823 8.89
185.6690 70.242 6.07
186.0352 70.555 3.68
186.4014 70.800 1.71
186.7676 71.007 0.13
187.1338 71.202 -1.18
187.5000 71.403 -2.33
187.8662 71.616 -3.51
188.2324 71.833 -4.91
188.5986 72.028 -6.66
188.9649 72.165 -8.77
189.3311 72.212 -11.06
189.6973 72.160 -13.29
190.0635 72.024 -15.20
190.4297 71.838 -16.68
190.7959 71.633 -17.78
191.1621 71.420 -18.67
191.5283 71.185 -19.45
191.8945 70.902 -20.11
192.2608 70.555 -20.44
192.6270 70.146 -20.20
192.9932 69.702 -19.13
193.3594 69.265 -17.03
193.7256 68.899 -13.81
194.0918 68.688 -9.60
194.4580 68.702 -4.93
194.8242 68.945 -0.57
195.1904 69.339 2.92
195.5567 69.789 5.54
195.9229 70.258 7.69
196.2891 70.786 9.60
196.6553 71.431 11.00
197.0215 72.183 11.22
197.3877 72.943 9.75
197.7539 73.577 6.63
198.1201 73.978 2.42
198.4863 74.102 -2.08
198.8526 73.965 -6.01
199.2188 73.654 -8.64
199.5850 73.314 -9.65
199.9512 73.100 -9.47
200.3174 73.074 -9.11
200.6836 73.166 -9.47
201.0498 73.248 -10.76
201.4160 73.229 -12.54
201.7822 73.098 -14.18
202.1485 72.913 -15.18
202.5147 72.771 -15.51
202.8809 72.742 -15.60
203.2471 72.824 -16.07
203.6133 72.956 -17.33
203.9795 73.061 -19.35
204.3457 73.095 -21.89
204.7119 73.051 -24.64
205.0781 72.945 -27.46
205.4444 72.796 -30.36
205.8106 72.597 -33.48
206.1768 72.321 -36.86
206.5430 71.931 -40.44
206.9092 71.401 -43.97
207.2754 70.730 -47.17
207.6416 69.939 -49.86
208.0078 69.051 -52.04
208.3740 68.058 -53.88
208.7403 66.906 -55.46
209.1065 65.505 -56.50
209.4727 63.776 -56.19
209.8389 61.701 -53.17
210.2051 59.396 -45.83
210.5713 57.103 -32.98
210.9375 55.081 -13.56
211.3037 53.995 14.84
211.6699 55.422 46.46
212.0362 58.691 65.92
212.4024 61.910 73.51
212.7686 64.559 74.95
213.1348 66.690 73.50
213.5010 68.441 70.63
213.8672 69.927 66.90
214.2334 71.215 62.46
214.5996 72.327 57.29
214.9658 73.257 51.48
215.3320 73.994 45.21
215.6983 74.534 38.76
216.0645 74.889 32.44
216.4307 75.090 26.49
216.7969 75.183 21.09
217.1631 75.217 16.21
217.5293 75.231 11.67
217.8955 75.241 7.21
218.2617 75.232 2.55
218.6279 75.177 -2.42
218.9942 75.049 -7.73
219.3604 74.833 -13.31
219.7266 74.527 -19.17
220.0928 74.132 -25.38
220.4590 73.640 -32.14
220.8252 73.029 -39.69
221.1914 72.262 -48.32
221.5576 71.301 -58.35
221.9238 70.124 -70.28
222.2901 68.750 -84.95
222.6563 67.316 -103.73
223.0225 66.208 -127.82
223.3887 66.035 -155.76
223.7549 66.977 177.56
224.1211 68.501 155.74
224.4873 70.070 138.62
224.8535 71.455 124.90
225.2197 72.616 113.57
225.5860 73.589 103.97
225.9522 74.419 95.55
226.3184 75.141 87.84
226.6846 75.758 80.45
227.0508 76.248 73.18
227.4170 76.587 66.03
227.7832 76.761 59.18
228.1494 76.777 52.89
228.5156 76.668 47.36
228.8819 76.478 42.66
229.2481 76.249 38.68
229.6143 75.994 35.22
229.9805 75.700 32.13
230.3467 75.342 29.45
230.7129 74.909 27.43
231.0791 74.426 26.38
231.4453 73.958 26.50
231.8115 73.586 27.64
232.1778 73.363 29.34
232.5440 73.282 31.05
232.9102 73.296 32.43
233.2764 73.357 33.45
233.6426 73.435 34.21
234.0088 73.524 34.80
234.3750 73.621 35.26
234.7412 73.723 35.65
235.1074 73.833 36.03
235.4737 73.965 36.42
235.8399 74.139 36.77
236.2061 74.362 36.86
236.5723 74.612 36.45
236.9385 74.841 35.48
237.3047 74.998 34.08
237.6709 75.059 32.61
238.0371 75.037 31.49
238.4033 74.985 31.00
238.7696 74.976 31.11
239.1358 75.062 31.47
239.5020 75.242 31.59
239.8682 75.470 31.16
240.2344 75.685 30.15
240.6006 75.852 28.76
240.9668 75.958 27.21
241.3330 76.014 25.67
241.6992 76.034 24.21
242.0654 76.024 22.83
242.4317 75.985 21.52
242.7979 75.916 20.34
243.1641 75.820 19.37
243.5303 75.711 18.68
243.8965 75.610 18.30
244.2627 75.542 18.18
244.6289 75.525 18.14
244.9951 75.565 17.99
245.3613 75.644 17.49
245.7276 75.729 16.53
246.0938 75.781 15.13
246.4600 75.773 13.48
246.8262 75.698 11.79
247.1924 75.572 10.28
247.5586 75.421 9.01
247.9248 75.272 7.93
248.2910 75.135 6.90
248.6572 74.997 5.79
249.0235 74.837 4.58
249.3897 74.639 3.37
249.7559 74.396 2.29
250.1221 74.119 1.49
250.4883 73.826 1.05
250.8545 73.540 0.96
251.2207 73.276 1.14
251.5869 73.040 1.44
251.9531 72.820 1.72
252.3194 72.590 1.95
252.6856 72.326 2.22
253.0518 72.021 2.75
253.4180 71.698 3.73
253.7842 71.398 5.13
254.1504 71.142 6.72
254.5166 70.905 8.17
254.8828 70.620 9.47
255.2490 70.231 11.08
255.6153 69.755 13.74
255.9815 69.320 18.06
256.3477 69.117 23.72
256.7139 69.242 29.38
257.0801 69.594 33.75
257.4463 69.982 36.53
257.8125 70.283 38.34
258.1787 70.476 39.92
258.5449 70.606 41.71
258.9112 70.721 43.83
259.2774 70.845 46.29
259.6436 70.995 49.19
260.0098 71.223 52.69
260.3760 71.615 56.63
260.7422 72.233 60.31
261.1084 73.039 62.89
261.4746 73.918 63.91
261.8408 74.756 63.53
262.2071 75.489 62.17
262.5733 76.104 60.30
262.9395 76.614 58.22
263.3057 77.037 56.12
263.6719 77.391 54.08
264.0381 77.691 52.20
264.4043 77.958 50.53
264.7705 78.216 49.07
265.1367 78.487 47.69
265.5030 78.773 46.21
265.8692 79.056 44.50
266.2354 79.313 42.58
266.6016 79.532 40.55
266.9678 79.720 38.56
267.3340 79.900 36.62
267.7002 80.088 34.63
268.0664 80.282 32.44
268.4326 80.462 29.93
268.7988 80.601 27.13
269.1651 80.684 24.19
269.5313 80.713 21.25
269.8975 80.703 18.39
270.2637 80.670 15.60
270.6299 80.613 12.79
270.9961 80.521 9.92
271.3623 80.375 7.05
271.7285 80.167 4.32
272.0947 79.902 1.91
272.4610 79.604 -0.07
272.8272 79.298 -1.61
273.1934 79.002 -2.80
273.5596 78.719 -3.75
273.9258 78.445 -4.51
274.2920 78.174 -5.08
274.6582 77.911 -5.43
275.0244 77.667 -5.59
275.3906 77.446 -5.63
275.7569 77.244 -5.67
276.1231 77.046 -5.74
276.4893 76.837 -5.83
276.8555 76.609 -5.83
277.2217 76.362 -5.66
277.5879 76.105 -5.24
277.9541 75.850 -4.53
278.3203 75.610 -3.47
278.6865 75.400 -2.07
279.0528 75.243 -0.32
279.4190 75.165 1.68
279.7852 75.190 3.75
280.1514 75.324 5.60
280.5176 75.553 6.95
280.8838 75.840 7.55
281.2500 76.137 7.30
281.6162 76.392 6.27
281.9824 76.561 4.61
282.3487 76.617 2.62
282.7149 76.546 0.60
283.0811 76.355 -1.10
283.4473 76.072 -2.17
283.8135 75.744 -2.36
284.1797 75.436 -1.64
284.5459 75.208 -0.17
284.9121 75.095 1.69
285.2783 75.097 3.55
285.6446 75.185 5.14
286.0108 75.326 6.39
286.3770 75.498 7.30
286.7432 75.693 7.89
287.1094 75.899 8.12
287.4756 76.096 7.94
287.8418 76.255 7.44
288.2080 76.360 6.79
288.5742 76.415 6.25
288.9405 76.452 5.99
289.3067 76.515 5.94
289.6729 76.626 5.84
290.0391 76.764 5.38
290.4053 76.874 4.46
290.7715 76.908 3.32
291.1377 76.853 2.36
291.5039 76.748 1.99
291.8701 76.667 2.30
292.2364 76.678 3.00
292.6026 76.789 3.56
292.9688 76.950 3.63
293.3350 77.093 3.23
293.7012 77.189 2.67
294.0674 77.250 2.26
294.4336 77.319 2.08
294.7998 77.426 1.97
295.1660 77.566 1.69
295.5323 77.710 1.15
295.8985 77.831 0.45
296.2647 77.931 -0.21
296.6309 78.036 -0.76
296.9971 78.171 -1.29
297.3633 78.339 -2.03
297.7295 78.514 -3.14
298.0957 78.660 -4.58
298.4619 78.759 -6.20
