* Measurement data measured by REW V5.31.3
* Source: Umik-1  Gain: 18dB, no input selected, R, volume: no control. Timing signal peak level -34.5 dBFS, measurement signal peak level -29.8 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: Apr 18, 2026 9:01:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0341 ms (-12 mm, -0.46 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: R 2
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
76.9043 78.162 -100.67
77.2705 78.009 -101.54
77.6367 77.894 -102.39
78.0029 77.839 -103.42
78.3691 77.830 -104.94
78.7354 77.821 -107.07
79.1016 77.767 -109.69
79.4678 77.648 -112.46
79.8340 77.486 -115.07
80.2002 77.328 -117.39
80.5664 77.212 -119.50
80.9326 77.143 -121.57
81.2988 77.100 -123.55
81.6650 77.081 -125.12
82.0313 77.150 -125.87
82.3975 77.439 -125.85
82.7637 78.057 -125.93
83.1299 78.977 -127.46
83.4961 80.036 -131.24
83.8623 81.053 -137.26
84.2285 81.904 -144.97
84.5947 82.532 -153.73
84.9609 82.922 -162.93
85.3272 83.089 -172.10
85.6934 83.064 179.13
86.0596 82.889 170.99
86.4258 82.610 163.64
86.7920 82.273 157.12
87.1582 81.924 151.40
87.5244 81.605 146.35
87.8906 81.349 141.77
88.2568 81.172 137.37
88.6231 81.060 132.88
88.9893 80.978 128.14
89.3555 80.882 123.21
89.7217 80.746 118.36
90.0879 80.578 113.92
90.4541 80.423 110.12
90.8203 80.343 106.90
91.1865 80.377 103.88
91.5527 80.516 100.60
91.9190 80.703 96.77
92.2852 80.878 92.39
92.6514 81.005 87.66
93.0176 81.075 82.79
93.3838 81.100 77.91
93.7500 81.090 73.02
94.1162 81.042 68.08
94.4824 80.943 63.10
94.8486 80.783 58.22
95.2149 80.566 53.62
95.5811 80.315 49.43
95.9473 80.061 45.67
96.3135 79.825 42.24
96.6797 79.606 39.02
97.0459 79.390 36.00
97.4121 79.170 33.30
97.7783 78.965 31.11
98.1445 78.821 29.45
98.5108 78.785 28.11
98.8770 78.870 26.63
99.2432 79.041 24.63
99.6094 79.237 21.96
99.9756 79.410 18.73
100.3418 79.540 15.17
100.7080 79.633 11.44
101.0742 79.707 7.59
101.4404 79.776 3.54
101.8066 79.836 -0.84
102.1729 79.870 -5.62
102.5391 79.860 -10.78
102.9053 79.789 -16.23
103.2715 79.656 -21.84
103.6377 79.468 -27.51
104.0039 79.237 -33.18
104.3701 78.971 -38.86
104.7363 78.675 -44.57
105.1025 78.345 -50.32
105.4688 77.973 -56.08
105.8350 77.559 -61.78
106.2012 77.107 -67.34
106.5674 76.630 -72.73
106.9336 76.141 -77.98
107.2998 75.647 -83.19
107.6660 75.144 -88.43
108.0322 74.621 -93.74
108.3984 74.073 -99.06
108.7647 73.505 -104.32
109.1309 72.939 -109.41
109.4971 72.408 -114.35
109.8633 71.942 -119.24
110.2295 71.562 -124.23
110.5957 71.269 -129.47
110.9619 71.053 -134.97
111.3281 70.905 -140.67
111.6943 70.819 -146.42
112.0606 70.795 -152.04
112.4268 70.837 -157.40
112.7930 70.948 -162.37
113.1592 71.132 -166.89
113.5254 71.396 -170.91
113.8916 71.752 -174.43
114.2578 72.216 -177.57
114.6240 72.794 179.45
114.9902 73.477 176.36
115.3565 74.236 172.94
115.7227 75.030 169.08
116.0889 75.825 164.82
116.4551 76.601 160.30
116.8213 77.360 155.62
117.1875 78.113 150.85
117.5537 78.875 145.92
117.9199 79.649 140.68
118.2861 80.421 135.00
118.6524 81.166 128.81
119.0186 81.858 122.11
119.3848 82.475 114.99
119.7510 83.003 107.56
120.1172 83.436 99.92
120.4834 83.772 92.18
120.8496 84.011 84.41
121.2158 84.151 76.67
121.5820 84.191 69.04
121.9483 84.132 61.60
122.3145 83.977 54.46
122.6807 83.736 47.72
123.0469 83.423 41.44
123.4131 83.052 35.66
123.7793 82.638 30.38
124.1455 82.192 25.58
124.5117 81.718 21.27
124.8779 81.222 17.45
125.2442 80.715 14.19
125.6104 80.215 11.51
125.9766 79.748 9.38
126.3428 79.338 7.65
126.7090 78.992 6.11
127.0752 78.695 4.57
127.4414 78.422 2.93
127.8076 78.147 1.24
128.1738 77.862 -0.36
128.5400 77.576 -1.78
128.9063 77.305 -3.01
129.2725 77.058 -4.12
129.6387 76.832 -5.18
130.0049 76.620 -6.21
130.3711 76.424 -7.16
130.7373 76.256 -8.04
131.1035 76.131 -8.95
131.4697 76.047 -10.12
131.8359 75.971 -11.71
132.2022 75.860 -13.71
132.5684 75.679 -15.88
132.9346 75.430 -17.89
133.3008 75.147 -19.50
133.6670 74.884 -20.71
134.0332 74.676 -21.78
134.3994 74.515 -23.04
134.7656 74.358 -24.64
135.1318 74.166 -26.45
135.4981 73.930 -28.17
135.8643 73.687 -29.54
136.2305 73.498 -30.61
136.5967 73.404 -31.72
136.9629 73.397 -33.36
137.3291 73.424 -35.83
137.6953 73.420 -39.12
138.0615 73.343 -43.02
138.4277 73.182 -47.25
138.7940 72.954 -51.60
139.1602 72.688 -56.00
139.5264 72.408 -60.56
139.8926 72.126 -65.46
140.2588 71.831 -70.90
140.6250 71.500 -77.02
140.9912 71.108 -83.86
141.3574 70.636 -91.35
141.7236 70.082 -99.40
142.0899 69.462 -107.84
142.4561 68.818 -116.57
142.8223 68.213 -125.47
143.1885 67.729 -134.52
143.5547 67.445 -143.76
143.9209 67.419 -153.25
144.2871 67.660 -163.02
144.6533 68.134 -172.99
145.0195 68.774 177.04
145.3858 69.507 167.25
145.7520 70.272 157.84
146.1182 71.024 148.92
146.4844 71.739 140.54
146.8506 72.402 132.69
147.2168 73.005 125.33
147.5830 73.544 118.42
147.9492 74.014 111.92
148.3154 74.417 105.85
148.6817 74.758 100.24
149.0479 75.050 95.12
149.4141 75.311 90.48
149.7803 75.563 86.27
150.1465 75.821 82.39
150.5127 76.090 78.69
150.8789 76.363 75.06
151.2451 76.627 71.44
151.6113 76.867 67.88
151.9776 77.080 64.47
152.3438 77.274 61.31
152.7100 77.468 58.46
153.0762 77.689 55.88
153.4424 77.957 53.40
153.8086 78.277 50.81
154.1748 78.636 47.88
154.5410 79.002 44.45
154.9072 79.341 40.51
155.2735 79.620 36.11
155.6397 79.817 31.41
156.0059 79.922 26.60
156.3721 79.943 21.89
156.7383 79.901 17.39
157.1045 79.820 13.15
157.4707 79.726 9.10
157.8369 79.624 5.09
158.2031 79.505 0.99
158.5693 79.348 -3.20
158.9356 79.137 -7.38
159.3018 78.870 -11.37
159.6680 78.569 -15.04
160.0342 78.264 -18.38
160.4004 77.980 -21.53
160.7666 77.713 -24.72
161.1328 77.436 -28.08
161.4990 77.115 -31.57
161.8652 76.733 -34.98
162.2315 76.305 -38.09
162.5977 75.867 -40.86
162.9639 75.454 -43.47
163.3301 75.059 -46.29
163.6963 74.637 -49.55
164.0625 74.122 -53.21
164.4287 73.469 -56.93
164.7949 72.682 -60.28
165.1611 71.809 -62.99
165.5274 70.915 -65.17
165.8936 70.013 -67.30
166.2598 69.033 -69.86
166.6260 67.839 -72.76
166.9922 66.304 -75.19
167.3584 64.388 -75.60
167.7246 62.240 -72.16
168.0908 60.253 -64.14
168.4570 58.730 -53.64
168.8233 57.411 -42.44
169.1895 56.073 -27.29
169.5557 55.767 -4.71
169.9219 57.551 14.68
170.2881 59.913 22.37
170.6543 61.696 22.81
171.0205 62.768 20.94
171.3867 63.332 19.66
171.7529 63.723 20.27
172.1192 64.282 22.18
172.4854 65.116 23.39
172.8516 66.054 22.50
173.2178 66.876 19.59
173.5840 67.478 15.48
173.9502 67.859 10.96
174.3164 68.071 6.47
174.6826 68.167 2.09
175.0488 68.168 -2.29
175.4151 68.067 -6.74
175.7813 67.851 -11.20
176.1475 67.523 -15.53
176.5137 67.097 -19.71
176.8799 66.580 -23.88
177.2461 65.939 -28.27
177.6123 65.100 -32.93
177.9785 63.968 -37.61
178.3447 62.455 -41.73
178.7110 60.489 -44.48
179.0772 57.980 -44.97
179.4434 54.681 -41.74
179.8096 49.865 -28.81
180.1758 45.134 26.70
180.5420 50.881 76.10
180.9082 55.793 84.07
181.2744 58.815 82.83
181.6406 60.663 79.41
182.0069 61.718 76.36
182.3731 62.275 75.19
182.7393 62.654 76.59
183.1055 63.164 79.95
183.4717 63.936 83.61
183.8379 64.883 86.24
184.2041 65.861 87.61
184.5703 66.807 88.10
184.9365 67.730 87.93
185.3027 68.641 86.99
185.6690 69.511 85.12
186.0352 70.285 82.35
186.4014 70.920 79.00
186.7676 71.408 75.53
187.1338 71.786 72.33
187.5000 72.114 69.54
187.8662 72.449 67.03
188.2324 72.808 64.47
188.5986 73.169 61.62
188.9649 73.488 58.45
189.3311 73.737 55.14
189.6973 73.914 51.94
190.0635 74.045 49.04
190.4297 74.162 46.42
190.7959 74.283 43.94
191.1621 74.402 41.43
191.5283 74.496 38.81
191.8945 74.546 36.13
192.2608 74.543 33.51
192.6270 74.492 31.05
192.9932 74.405 28.77
193.3594 74.289 26.65
193.7256 74.143 24.65
194.0918 73.963 22.76
194.4580 73.747 20.99
194.8242 73.488 19.35
195.1904 73.177 17.83
195.5567 72.793 16.52
195.9229 72.311 15.64
196.2891 71.726 15.63
196.6553 71.074 17.06
197.0215 70.468 20.47
197.3877 70.093 25.82
197.7539 70.117 32.15
198.1201 70.561 37.84
198.4863 71.285 41.75
198.8526 72.115 43.64
199.2188 72.932 43.84
199.5850 73.676 42.76
199.9512 74.324 40.77
200.3174 74.869 38.11
200.6836 75.302 34.95
201.0498 75.611 31.46
201.4160 75.786 27.84
201.7822 75.821 24.36
202.1485 75.726 21.32
202.5147 75.532 19.02
202.8809 75.295 17.65
203.2471 75.077 17.17
203.6133 74.926 17.32
203.9795 74.853 17.81
204.3457 74.846 18.42
204.7119 74.894 19.12
205.0781 75.008 19.89
205.4444 75.204 20.58
205.8106 75.478 20.88
206.1768 75.790 20.58
206.5430 76.084 19.68
206.9092 76.324 18.46
207.2754 76.513 17.25
207.6416 76.690 16.27
208.0078 76.904 15.44
208.3740 77.178 14.49
208.7403 77.497 13.12
209.1065 77.820 11.23
209.4727 78.116 8.90
209.8389 78.374 6.31
210.2051 78.603 3.54
210.5713 78.812 0.57
210.9375 78.992 -2.70
211.3037 79.119 -6.25
211.6699 79.170 -9.95
212.0362 79.140 -13.55
212.4024 79.054 -16.79
212.7686 78.958 -19.62
213.1348 78.894 -22.21
213.5010 78.872 -24.88
213.8672 78.861 -27.90
214.2334 78.812 -31.28
214.5996 78.694 -34.81
214.9658 78.509 -38.19
215.3320 78.291 -41.26
215.6983 78.082 -44.06
216.0645 77.901 -46.87
216.4307 77.729 -49.93
216.7969 77.524 -53.32
217.1631 77.254 -56.85
217.5293 76.916 -60.29
217.8955 76.536 -63.47
218.2617 76.148 -66.46
218.6279 75.760 -69.48
218.9942 75.339 -72.73
219.3604 74.831 -76.16
219.7266 74.196 -79.42
220.0928 73.434 -81.95
220.4590 72.609 -83.23
220.8252 71.841 -83.08
221.1914 71.256 -81.92
221.5576 70.906 -80.70
221.9238 70.735 -80.31
222.2901 70.628 -81.15
222.6563 70.482 -83.11
223.0225 70.227 -85.83
223.3887 69.835 -88.83
223.7549 69.317 -91.60
224.1211 68.735 -93.73
224.4873 68.199 -95.17
224.8535 67.821 -96.50
225.2197 67.621 -98.88
225.5860 67.494 -103.34
225.9522 67.274 -110.27
226.3184 66.823 -119.54
226.6846 66.066 -130.81
227.0508 64.998 -143.83
227.4170 63.696 -158.61
227.7832 62.350 -175.42
228.1494 61.284 165.53
228.5156 60.864 144.92
228.8819 61.227 124.68
229.2481 62.145 106.55
229.6143 63.251 91.10
229.9805 64.280 78.14
230.3467 65.123 67.47
230.7129 65.781 58.98
231.0791 66.329 52.45
231.4453 66.854 47.39
231.8115 67.399 43.06
232.1778 67.938 38.85
232.5440 68.411 34.52
232.9102 68.773 30.24
233.2764 69.025 26.32
233.6426 69.208 22.95
234.0088 69.373 20.03
234.3750 69.538 17.28
234.7412 69.677 14.45
235.1074 69.741 11.62
235.4737 69.707 9.16
235.8399 69.610 7.58
236.2061 69.551 7.17
236.5723 69.654 7.63
236.9385 69.986 8.08
237.3047 70.506 7.62
237.6709 71.104 5.81
238.0371 71.681 2.71
238.4033 72.180 -1.38
238.7696 72.579 -6.15
239.1358 72.872 -11.42
239.5020 73.055 -17.05
239.8682 73.120 -22.91
240.2344 73.053 -28.87
240.6006 72.846 -34.69
240.9668 72.500 -40.06
241.3330 72.041 -44.62
241.6992 71.531 -48.05
242.0654 71.068 -50.28
242.4317 70.759 -51.72
242.7979 70.650 -53.22
243.1641 70.683 -55.68
243.5303 70.733 -59.48
243.8965 70.678 -64.43
244.2627 70.451 -69.94
244.6289 70.049 -75.33
244.9951 69.536 -80.08
245.3613 69.024 -84.04
245.7276 68.621 -87.71
246.0938 68.356 -92.00
246.4600 68.156 -97.69
246.8262 67.905 -105.05
247.1924 67.516 -113.81
247.5586 66.964 -123.50
247.9248 66.289 -133.65
248.2910 65.589 -143.97
248.6572 64.993 -154.51
249.0235 64.609 -165.63
249.3897 64.475 -177.74
249.7559 64.547 169.07
250.1221 64.734 155.19
250.4883 64.940 141.31
250.8545 65.095 128.17
251.2207 65.174 116.44
251.5869 65.207 106.59
251.9531 65.273 98.71
252.3194 65.463 92.41
252.6856 65.822 86.90
253.0518 66.324 81.40
253.4180 66.899 75.49
253.7842 67.488 69.12
254.1504 68.067 62.38
254.5166 68.637 55.28
254.8828 69.200 47.70
255.2490 69.735 39.45
255.6153 70.200 30.40
255.9815 70.541 20.60
256.3477 70.707 10.24
256.7139 70.666 -0.33
257.0801 70.411 -10.70
257.4463 69.966 -20.46
257.8125 69.396 -29.34
258.1787 68.794 -37.38
258.5449 68.241 -45.11
258.9112 67.752 -53.45
259.2774 67.246 -63.20
259.6436 66.595 -74.70
260.0098 65.679 -87.78
260.3760 64.429 -101.85
260.7422 62.854 -115.98
261.1084 61.106 -128.91
261.4746 59.568 -139.59
261.8408 58.801 -148.78
262.2071 59.055 -159.66
262.5733 59.962 -174.40
262.9395 60.999 167.72
263.3057 61.814 148.40
263.6719 62.213 129.06
264.0381 62.085 110.73
264.4043 61.359 94.35
264.7705 60.008 81.14
265.1367 58.091 72.88
265.5030 55.912 71.62
265.8692 54.082 77.28
266.2354 52.847 85.96
266.6016 51.653 96.90
266.9678 50.692 117.35
267.3340 52.326 144.69
267.7002 55.977 158.40
268.0664 59.299 159.97
268.4326 61.879 156.49
268.7988 63.882 151.28
269.1651 65.501 145.55
269.5313 66.863 139.59
269.8975 68.027 133.35
270.2637 68.997 126.80
270.6299 69.758 120.10
270.9961 70.308 113.59
271.3623 70.677 107.66
271.7285 70.927 102.57
272.0947 71.134 98.32
272.4610 71.359 94.60
272.8272 71.615 90.95
273.1934 71.863 87.05
273.5596 72.045 82.86
273.9258 72.122 78.64
274.2920 72.090 74.76
274.6582 71.980 71.53
275.0244 71.851 69.08
275.3906 71.758 67.28
275.7569 71.731 65.83
276.1231 71.767 64.41
276.4893 71.840 62.83
276.8555 71.924 61.05
277.2217 72.000 59.07
277.5879 72.056 56.91
277.9541 72.080 54.60
278.3203 72.057 52.18
278.6865 71.973 49.74
279.0528 71.821 47.45
279.4190 71.608 45.46
279.7852 71.351 43.90
280.1514 71.067 42.83
280.5176 70.777 42.32
280.8838 70.501 42.39
281.2500 70.270 43.11
281.6162 70.131 44.40
281.9824 70.131 45.97
282.3487 70.283 47.31
282.7149 70.544 47.92
283.0811 70.830 47.59
283.4473 71.063 46.50
283.8135 71.195 45.06
284.1797 71.224 43.73
284.5459 71.182 42.88
284.9121 71.122 42.69
285.2783 71.094 43.14
285.6446 71.138 44.11
286.0108 71.283 45.44
286.3770 71.562 46.88
286.7432 71.994 48.04
287.1094 72.561 48.43
287.4756 73.203 47.66
287.8418 73.840 45.63
288.2080 74.408 42.52
288.5742 74.868 38.61
288.9405 75.211 34.17
289.3067 75.437 29.37
289.6729 75.546 24.32
290.0391 75.527 19.10
290.4053 75.365 13.88
290.7715 75.048 8.96
291.1377 74.591 4.74
291.5039 74.044 1.59
291.8701 73.499 -0.31
292.2364 73.053 -1.20
292.6026 72.759 -1.76
292.9688 72.586 -2.63
293.3350 72.457 -4.11
293.7012 72.302 -6.06
294.0674 72.100 -8.16
294.4336 71.871 -10.21
294.7998 71.643 -12.24
295.1660 71.426 -14.47
295.5323 71.192 -17.11
295.8985 70.897 -20.23
296.2647 70.494 -23.69
296.6309 69.948 -27.27
296.9971 69.236 -30.64
297.3633 68.346 -33.38
297.7295 67.287 -34.92
298.0957 66.117 -34.51
298.4619 65.003 -31.45
298.8281 64.225 -25.98
299.1944 63.997 -20.00
299.5606 64.223 -15.95
299.9268 64.599 -14.79
300.2930 64.888 -15.93
300.6592 64.998 -18.35
301.0254 64.945 -21.20
301.3916 64.792 -24.11
301.7578 64.593 -27.09
302.1240 64.360 -30.37
302.4903 64.055 -34.09
302.8565 63.631 -38.07
303.2227 63.066 -41.89
303.5889 62.389 -45.09
303.9551 61.675 -47.49
304.3213 60.995 -49.36
304.6875 60.359 -51.32
305.0537 59.693 -53.84
305.4199 58.889 -56.90
305.7862 57.870 -60.09
306.1524 56.616 -62.87
306.5186 55.140 -64.93
306.8848 53.444 -66.22
307.2510 51.474 -66.64
307.6172 49.171 -65.41
307.9834 46.692 -61.29
308.3496 44.574 -55.61
308.7158 43.084 -56.38
309.0821 41.832 -73.98
309.4483 42.023 -112.20
309.8145 45.024 -149.70
310.1807 48.273 -172.93
310.5469 50.542 173.28
310.9131 51.935 166.21
311.2793 52.902 165.31
311.6455 54.013 169.11
312.0117 55.579 174.14
312.3780 57.440 177.56
312.7442 59.351 178.88
313.1104 61.222 178.34
313.4766 63.013 175.87
313.8428 64.634 171.32
314.2090 65.960 164.94
314.5752 66.884 157.49
314.9414 67.353 150.07
315.3076 67.385 144.11
315.6739 67.135 141.18
316.0401 66.962 142.21
316.4063 67.316 145.77
316.7725 68.268 148.28
317.1387 69.442 147.75
317.5049 70.488 144.80
317.8711 71.289 140.95
318.2373 71.897 137.36
318.6035 72.439 134.50
318.9698 73.022 132.06
319.3360 73.669 129.39
319.7022 74.314 126.06
320.0684 74.878 122.12
320.4346 75.316 117.96
320.8008 75.634 113.96
321.1670 75.871 110.39
321.5332 76.069 107.24
321.8994 76.251 104.42
322.2657 76.421 101.82
322.6319 76.578 99.49
322.9981 76.740 97.51
323.3643 76.943 95.88
323.7305 77.226 94.42
324.0967 77.604 92.80
324.4629 78.060 90.67
324.8291 78.552 87.88
325.1953 79.039 84.43
325.5615 79.497 80.46
325.9278 79.919 76.11
326.2940 80.310 71.46
326.6602 80.679 66.53
327.0264 81.030 61.24
327.3926 81.355 55.50
327.7588 81.634 49.19
328.1250 81.835 42.32
328.4912 81.926 34.96
328.8574 81.880 27.27
329.2237 81.683 19.50
329.5899 81.336 11.92
329.9561 80.863 4.78
330.3223 80.300 -1.77
330.6885 79.697 -7.72
331.0547 79.093 -13.24
331.4209 78.505 -18.62
331.7871 77.920 -24.12
332.1533 77.306 -29.86
332.5196 76.631 -35.76
332.8858 75.880 -41.65
333.2520 75.062 -47.29
333.6182 74.204 -52.54
333.9844 73.341 -57.35
334.3506 72.508 -61.76
334.7168 71.737 -65.90
335.0830 71.055 -69.92
335.4492 70.493 -74.03
335.8155 70.076 -78.57
336.1817 69.804 -83.96
336.5479 69.648 -90.53
336.9141 69.562 -98.39
337.2803 69.505 -107.35
337.6465 69.464 -117.06
338.0127 69.448 -127.08
338.3789 69.479 -137.08
338.7451 69.573 -146.85
339.1114 69.719 -156.30
339.4776 69.881 -165.35
339.8438 70.011 -173.85
340.2100 70.070 178.49
340.5762 70.054 172.02
340.9424 70.000 166.97
341.3086 69.970 163.31
341.6748 70.011 160.69
342.0410 70.121 158.64
342.4073 70.260 156.97
342.7735 70.409 155.83
343.1397 70.610 155.44
343.5059 70.951 155.62
343.8721 71.488 155.59
344.2383 72.168 154.47
344.6045 72.858 151.86
344.9707 73.430 148.04
345.3369 73.816 143.63
345.7032 74.015 139.36
346.0694 74.082 135.77
346.4356 74.103 133.09
346.8018 74.161 131.13
347.1680 74.290 129.43
347.5342 74.464 127.55
347.9004 74.620 125.35
348.2666 74.709 123.03
348.6328 74.712 120.95
348.9991 74.656 119.42
349.3653 74.594 118.58
349.7315 74.583 118.24
350.0977 74.640 118.01
350.4639 74.736 117.48
350.8301 74.801 116.52
351.1963 74.769 115.31
351.5625 74.600 114.32
351.9287 74.302 114.15
352.2950 73.940 115.34
352.6612 73.628 118.15
353.0274 73.497 122.34
353.3936 73.632 127.17
353.7598 74.035 131.80
354.1260 74.651 135.62
354.4922 75.410 138.35
354.8584 76.250 139.92
355.2246 77.117 140.34
355.5908 77.965 139.72
355.9571 78.762 138.24
356.3233 79.491 136.13
356.6895 80.147 133.58
357.0557 80.735 130.70
357.4219 81.259 127.58
357.7881 81.721 124.25
358.1543 82.116 120.73
358.5205 82.435 117.09
358.8867 82.670 113.42
359.2530 82.817 109.88
359.6192 82.885 106.63
359.9854 82.894 103.83
360.3516 82.872 101.55
360.7178 82.852 99.77
361.0840 82.859 98.38
361.4502 82.907 97.24
361.8164 82.995 96.20
362.1826 83.121 95.18
362.5489 83.285 94.14
