crossover_hz,exact_cancellation_penalty,exact_lr_mismatch_rms_db,exact_phase_penalty,exact_preference_penalty,exact_score,exact_target_rms_db,exact_validation_rms_db,proxy_score,score,sub_delay_ms,sub_gain_db
"126.000000","0.038251","1.110017","0.365109","0.000000","5.843891","3.516642","6.963553","7.445064","5.843891","-1.500000","0.000000"
"130.000000","0.026347","1.029470","0.352769","0.000000","5.864005","3.581293","6.941899","7.339485","5.864005","-1.500000","0.000000"
"134.000000","0.018450","0.954874","0.374744","0.000000","5.907008","3.647376","6.922699","7.275089","5.907008","-1.500000","0.000000"
"138.000000","0.077939","0.949744","0.414048","0.000000","5.939571","3.605031","7.055719","7.192428","5.939571","-1.775000","-0.375000"
"136.000000","0.113210","0.981928","0.441665","0.000000","5.956817","3.592458","7.018271","7.253191","5.956817","-2.000000","0.000000"
"140.000000","0.078087","0.925155","0.449516","0.000000","5.962616","3.602314","7.122020","7.170709","5.962616","-1.800000","-0.500000"
"128.000000","0.168989","1.731453","0.428482","0.000000","6.429547","3.516047","8.102619","7.386401","6.429547","-1.500000","0.000000"
"132.000000","0.144083","1.626989","0.425238","0.000000","6.484798","3.606345","8.155019","7.302822","6.484798","-1.500000","0.000000"
