final_left_db,final_left_plus_sub_db,final_right_db,final_right_plus_sub_db,final_sub_db,freq_hz,left_cancellation_db,measured_left_plus_sub_db,measured_right_plus_sub_db,right_cancellation_db,target_db
"44.197957","78.565638","45.328272","78.523351","78.556190","50.170900","0.009448","87.810662","87.446547","-0.032840","82.731965"
"52.205847","86.290167","52.894315","86.315042","86.433378","60.058600","-0.143211","91.775000","93.138617","-0.118336","82.475380"
"49.800444","79.374336","53.095027","78.748203","79.102295","69.946300","0.272041","84.672764","85.091565","-0.354092","82.013323"
"60.214544","84.414755","51.297911","83.756841","83.953114","79.834000","0.461642","92.967200","84.909677","-0.196273","81.360909"
"56.852482","76.887568","57.897598","76.278734","76.129988","90.087900","0.757580","84.285260","73.811428","0.148746","80.616369"
"59.892528","79.633650","59.464448","79.941437","79.077931","99.975600","0.555719","85.536392","83.318123","0.863506","79.867638"
"56.230315","74.251435","54.786926","74.900737","74.311312","109.863300","-0.059878","65.266757","74.584601","0.589425","79.150917"
"64.967786","80.417297","68.215050","83.183147","81.693658","120.117200","-1.276361","80.194672","89.649479","1.489489","78.503069"
"59.954506","80.230967","59.408981","78.610638","79.475353","139.892600","0.755614","86.936467","87.191219","-0.864715","77.535408"
