freq_hz,target_db,final_left_db,final_right_db,final_sub_db,final_left_plus_sub_db,final_right_plus_sub_db,measured_left_plus_sub_db,measured_right_plus_sub_db,left_cancellation_db,right_cancellation_db
50.170900,82.731965,75.413891,76.036159,74.913706,81.039909,81.177015,87.810662,87.446547,5.626019,5.140856
60.058600,82.475380,80.990982,81.777709,83.670262,88.168933,88.763960,91.775000,93.138617,4.498671,5.093697
69.946300,82.013323,75.964429,80.231908,71.958831,67.859977,83.064327,84.672764,85.091565,-8.104451,2.832419
79.834000,81.360909,83.968787,76.020445,74.253249,81.380126,80.964495,92.967200,84.909677,-2.588661,4.944050
90.087900,80.616369,78.639006,79.168434,60.658126,77.470125,79.464014,84.285260,73.811428,-1.168881,0.295580
99.975600,79.867638,80.290245,77.757206,59.149069,79.493130,76.910329,85.536392,83.318123,-0.797115,-0.846878
109.863300,79.150917,75.288448,70.765883,50.510875,75.751812,70.994213,65.266757,74.584601,0.463364,0.228330
120.117200,78.503069,82.699421,82.399672,55.251337,82.917087,82.091169,80.194672,89.649479,0.217666,-0.308504
139.892600,77.535408,75.195031,71.574320,50.812619,75.455362,71.192531,86.936467,87.191219,0.260331,-0.381789
