crossover_hz,exact_cancellation_penalty,exact_lr_mismatch_rms_db,exact_phase_penalty,exact_preference_penalty,exact_score,exact_target_rms_db,exact_validation_rms_db,proxy_score,score,sub_delay_ms,sub_gain_db
"140.000000","0.042232","0.742104","0.446982","0.000000","5.110207","3.118194","5.967576","6.676845","5.110207","-1.900000","1.625000"
"136.000000","0.047915","0.756559","0.385802","0.000000","5.215530","3.301225","5.749768","6.711629","5.215530","-2.000000","2.000000"
"138.000000","0.028478","0.690382","0.399174","0.000000","5.409854","3.545380","5.647450","6.687438","5.409854","-1.875000","1.750000"
"126.000000","0.000000","0.814036","0.297649","0.000000","5.466988","3.676113","5.428550","6.858260","5.466988","-1.500000","2.000000"
"132.000000","0.000000","0.760657","0.342618","0.000000","5.581937","3.796113","5.393141","6.761605","5.581937","-1.500000","2.000000"
"130.000000","0.000671","0.794490","0.299999","0.000000","5.586100","3.816712","5.364194","6.783895","5.586100","-1.500000","2.000000"
"134.000000","0.032391","0.791248","0.373975","0.000000","5.680199","3.853512","5.399225","6.732240","5.680199","-2.000000","2.000000"
"128.000000","0.016098","0.842670","0.282223","0.000000","5.747114","3.994964","5.238658","6.815681","5.747114","-1.500000","2.000000"
