final_left_db,final_left_plus_sub_db,final_right_db,final_right_plus_sub_db,final_sub_db,freq_hz,left_cancellation_db,measured_left_plus_sub_db,measured_right_plus_sub_db,right_cancellation_db,target_db
"34.996273","81.602688","34.784281","81.596217","81.613221","50.170900","-0.010533","87.810662","87.446547","-0.017003","85.956902"
"43.173291","87.836430","42.594458","87.842185","87.887030","60.058600","-0.050600","91.775000","93.138617","-0.044845","85.440797"
"41.051260","82.039836","43.166479","81.867826","81.962019","69.946300","0.077817","84.672764","85.091565","-0.094193","84.758863"
"51.889611","85.184494","41.894601","85.028597","85.078449","79.834000","0.106045","92.967200","84.909677","-0.049852","83.915694"
"49.135331","79.543794","49.220754","79.570744","79.431920","90.087900","0.111874","84.285260","73.811428","0.138824","82.996824"
"52.928551","82.777399","51.668633","82.951310","82.726945","99.975600","0.050454","85.536392","83.318123","0.224365","82.097850"
"50.174672","77.376934","48.039729","77.499071","77.239447","109.863300","0.137487","65.266757","74.584601","0.259624","81.245067"
"59.995256","84.399726","62.707199","85.113773","84.721488","120.117200","-0.321761","80.194672","89.649479","0.392286","80.468486"
"57.345532","81.212068","56.571338","80.106088","80.640196","139.892600","0.571872","86.936467","87.191219","-0.534108","79.280948"
